source,target,tgt_lng
Algorithm,算法,zh-CN
API,应用程序接口,zh-CN
Database,数据库,zh-CN
Interface,界面,zh-CN
Server,服务器,zh-CN
Client,客户端,zh-CN
Cache,缓存,zh-CN
Debug,调试,zh-CN
Framework,框架,zh-CN
Repository,代码仓库,zh-CN
Backend,后端,zh-CN
Frontend,前端,zh-CN
Middleware,中间件,zh-CN
Protocol,协议,zh-CN
Query,查询,zh-CN
Response,响应,zh-CN
Request,请求,zh-CN
Session,会话,zh-CN
Token,令牌,zh-CN
Variable,变量,zh-CN
Function,函数,zh-CN
Class,类,zh-CN
Object,对象,zh-CN
Method,方法,zh-CN
Property,属性,zh-CN
Parameter,参数,zh-CN
Return,返回,zh-CN
Exception,异常,zh-CN
Error,错误,zh-CN
Warning,警告,zh-CN
Log,日志,zh-CN
Console,控制台,zh-CN
Terminal,终端,zh-CN
Command,命令,zh-CN
Script,脚本,zh-CN
Module,模块,zh-CN
Package,包,zh-CN
Dependency,依赖,zh-CN
Version,版本,zh-CN
Release,发布,zh-CN
Build,构建,zh-CN
Deploy,部署,zh-CN
Test,测试,zh-CN
Debug,调试,zh-CN
Profile,配置,zh-CN
Config,配置,zh-CN
Setting,设置,zh-CN
Option,选项,zh-CN
Default,默认,zh-CN
Custom,自定义,zh-CN
Plugin,插件,zh-CN
Extension,扩展,zh-CN
Theme,主题,zh-CN
Style,样式,zh-CN
Layout,布局,zh-CN
Component,组件,zh-CN
Widget,小部件,zh-CN
Template,模板,zh-CN
Format,格式,zh-CN
Encode,编码,zh-CN
Decode,解码,zh-CN
Parse,解析,zh-CN
Render,渲染,zh-CN
Compile,编译,zh-CN
Execute,执行,zh-CN
Process,进程,zh-CN
Thread,线程,zh-CN
Memory,内存,zh-CN
Storage,存储,zh-CN
File,文件,zh-CN
Directory,目录,zh-CN
Path,路径,zh-CN
URL,网址,zh-CN
Domain,域名,zh-CN
Host,主机,zh-CN
Port,端口,zh-CN
Network,网络,zh-CN
Protocol,协议,zh-CN
Security,安全,zh-CN
Encryption,加密,zh-CN
Decryption,解密,zh-CN
Authentication,认证,zh-CN
Authorization,授权,zh-CN
Permission,权限,zh-CN
Role,角色,zh-CN
User,用户,zh-CN
Password,密码,zh-CN
Account,账户,zh-CN
Login,登录,zh-CN
Logout,登出,zh-CN
Register,注册,zh-CN
Sign in,登录,zh-CN
Sign out,登出,zh-CN
Sign up,注册,zh-CN
Profile,个人资料,zh-CN
Avatar,头像,zh-CN
Email,电子邮件,zh-CN
Message,消息,zh-CN
Notification,通知,zh-CN
Alert,提醒,zh-CN
Dialog,对话框,zh-CN
Modal,模态框,zh-CN
Popup,弹出框,zh-CN
Menu,菜单,zh-CN
Button,按钮,zh-CN
Link,链接,zh-CN
Image,图片,zh-CN
Icon,图标,zh-CN
Font,字体,zh-CN
Color,颜色,zh-CN
Background,背景,zh-CN
Border,边框,zh-CN
Margin,外边距,zh-CN
Padding,内边距,zh-CN
Width,宽度,zh-CN
Height,高度,zh-CN
Size,大小,zh-CN
Position,位置,zh-CN
Display,显示,zh-CN
Visible,可见,zh-CN
Hidden,隐藏,zh-CN
Opacity,透明度,zh-CN
Shadow,阴影,zh-CN
Animation,动画,zh-CN
Transition,过渡,zh-CN
Transform,变换,zh-CN
Scale,缩放,zh-CN
Rotate,旋转,zh-CN
Translate,平移,zh-CN
Filter,滤镜,zh-CN
Blur,模糊,zh-CN
Brightness,亮度,zh-CN
Contrast,对比度,zh-CN
Saturation,饱和度,zh-CN
Hue,色相,zh-CN
