source,target,tgt_lng
Fanfiction,同人小說,zh-TW
Fanfic,同人小說,zh-TW
Fic,同人小說,zh-TW
Fan work,同人作品,zh-TW
Fan art,同人畫,zh-TW
Fan video,同人影片,zh-TW
Fan comic,同人漫畫,zh-TW
Original work,原創作品,zh-TW
Original character,原創角色,zh-TW
Original fiction,原創小說,zh-TW
Pairing,配對,zh-TW
Ship,配對,zh-TW
Gen,無性向,zh-TW
Het,異性戀,zh-TW
Slash,同性戀,zh-TW
Femslash,女同性戀,zh-TW
M/M,男男,zh-TW
F/F,女女,zh-TW
Multi,多性向,zh-TW
General,全年齡,zh-TW
Teen,青少年,zh-TW
Mature,成人,zh-TW
Explicit,限制級,zh-TW
Not rated,未分級,zh-TW
No archive warnings apply,無警告,zh-TW
Graphic depictions of violence,暴力描寫,zh-TW
Major character death,主要角色死亡,zh-TW
Rape/non-con,強暴/非自願,zh-TW
Underage,未成年,zh-TW
Fandom,同人圈,zh-TW
Fandom blind,無原作背景,zh-TW
Crossover,交叉,zh-TW
Fusion,融合,zh-TW
Alternate universe,平行宇宙,zh-TW
AU,平行宇宙,zh-TW
Canon,原作,zh-TW
Canon compliant,符合原作,zh-TW
Canon divergent,偏離原作,zh-TW
Headcanon,個人設定,zh-TW
Fan theory,粉絲理論,zh-TW
Freeform tags,自由標籤,zh-TW
Beta reader,校對者,zh-TW
Beta,校對,zh-TW
Beta'd,已校對,zh-TW
Unbeta'd,未校對,zh-TW
Abandoned,棄坑,zh-TW
WIP,進行中,zh-TW
Work in progress,進行中,zh-TW
Kudos,讚,zh-TW
