source,target,tgt_lng
Handheld,掌机,zh-CN
Game title,游戏名称,zh-CN
Genre,游戏类型,zh-CN
Action,动作,zh-CN
Adventure,冒险,zh-CN
RPG,角色扮演,zh-CN
Strategy,策略,zh-CN
Sports,体育,zh-CN
Racing,竞速,zh-CN
Fighting,格斗,zh-CN
Shooter,射击,zh-CN
Puzzle,解谜,zh-CN
Simulation,模拟,zh-CN
MMO,大型多人在线,zh-CN
Indie,独立游戏,zh-CN
AAA,3A大作,zh-CN
DLC,可下载内容,zh-CN
Expansion,扩展包,zh-CN
Glitch,故障,zh-CN
Soundtrack,配乐,zh-CN
Voice acting,配音,zh-CN
Cutscene,过场动画,zh-CN
Tutorial,教程,zh-CN
Trophy,奖杯,zh-CN
Achievement,成就,zh-CN
Save,存档,zh-CN
Load,读档,zh-CN
Checkpoint,检查点,zh-CN
Boss,首领,zh-CN
Companion,伙伴,zh-CN
Party,队伍,zh-CN
Race,种族,zh-CN
Skill,技能,zh-CN
Ability,能力,zh-CN
Item,物品,zh-CN
Equipment,装备,zh-CN
Weapon,武器,zh-CN
Armor,防具,zh-CN
Consumable,消耗品,zh-CN
Currency,货币,zh-CN
Experience,经验值,zh-CN
Level up,升级,zh-CN
Quest,任务,zh-CN
Mission,任务,zh-CN
Objective,目标,zh-CN
Reward,奖励,zh-CN
Loot,战利品,zh-CN
Drop,掉落,zh-CN
Craft,制作,zh-CN
Trade,交易,zh-CN
Shop,商店,zh-CN
Inventory,背包,zh-CN
HUD,界面,zh-CN
Joystick,摇杆,zh-CN
Trigger,扳机,zh-CN
Multiplayer,多人游戏,zh-CN
Co-op,合作,zh-CN
PvP,玩家对战,zh-CN
PvE,玩家对环境,zh-CN
Ranked,排位,zh-CN
Casual,休闲,zh-CN
Tournament,锦标赛,zh-CN
Match,比赛,zh-CN
Round,回合,zh-CN
Squad,小队,zh-CN
Guild,公会,zh-CN
Clan,氏族,zh-CN
