source,target,tgt_lng
Body,机身,zh-CN
Sensor,传感器,zh-CN
Viewfinder,取景器,zh-CN
LCD,液晶屏,zh-CN
Metering,测光,zh-CN
Focus,对焦,zh-CN
Autofocus,自动对焦,zh-CN
Manual focus,手动对焦,zh-CN
SD card,SD卡,zh-CN
CF card,CF卡,zh-CN
RAW,原始格式,zh-CN
JPEG,JPEG格式,zh-CN
Megapixel,百万像素,zh-CN
Full frame,全画幅,zh-CN
APS-C,APS-C画幅,zh-CN
Micro Four Thirds,微单,zh-CN
Focal length,焦距,zh-CN
Zoom,变焦,zh-CN
Prime,定焦,zh-CN
Wide angle,广角,zh-CN
Telephoto,长焦,zh-CN
Macro,微距,zh-CN
Street,街拍,zh-CN
Wildlife,野生动物,zh-CN
Natural light,自然光,zh-CN
Artificial light,人造光,zh-CN
Flash light,闪光,zh-CN
Continuous light,持续光,zh-CN
Soft light,柔光,zh-CN
Hard light,硬光,zh-CN
Backlight,逆光,zh-CN
Side light,侧光,zh-CN
Front light,顺光,zh-CN
Composition,构图,zh-CN
Rule of thirds,三分法,zh-CN
Leading lines,引导线,zh-CN
Framing,框架,zh-CN
Symmetry,对称,zh-CN
Balance,平衡,zh-CN
Depth,深度,zh-CN
Perspective,透视,zh-CN
Angle,角度,zh-CN
Viewpoint,视点,zh-CN
Enlargement,放大,zh-CN
