source,target,tgt_lng
Fanfiction,同人小说,zh-CN
Fanfic,同人小说,zh-CN
Fic,同人小说,zh-CN
Fan work,同人作品,zh-CN
Fan art,同人画,zh-CN
Fan video,同人视频,zh-CN
Fan comic,同人漫画,zh-CN
Original work,原创作品,zh-CN
Original character,原创角色,zh-CN
Original fiction,原创小说,zh-CN
Archive,档案库,zh-CN
Collection,合集,zh-CN
Series,系列,zh-CN
Work,作品,zh-CN
Chapter,章节,zh-CN
Part,部分,zh-CN
Volume,卷,zh-CN
Book,书,zh-CN
Story,故事,zh-CN
Plot,情节,zh-CN
Setting,设定,zh-CN
Character,角色,zh-CN
Main character,主角,zh-CN
Supporting character,配角,zh-CN
Antagonist,反派,zh-CN
Protagonist,主角,zh-CN
Pairing,配对,zh-CN
Ship,配对,zh-CN
Relationship,关系,zh-CN
Romance,浪漫,zh-CN
Friendship,友谊,zh-CN
Family,家庭,zh-CN
Gen,无性向,zh-CN
Het,异性恋,zh-CN
Slash,同性恋,zh-CN
Femslash,女同性恋,zh-CN
M/M,男男,zh-CN
F/F,女女,zh-CN
Multi,多性向,zh-CN
Other,其他,zh-CN
Rating,分级,zh-CN
General,全年龄,zh-CN
Teen,青少年,zh-CN
Mature,成人,zh-CN
Explicit,限制级,zh-CN
Not rated,未分级,zh-CN
Warning,警告,zh-CN
No archive warnings apply,无警告,zh-CN
Graphic depictions of violence,暴力描写,zh-CN
Major character death,主要角色死亡,zh-CN
Rape/non-con,强奸/非自愿,zh-CN
Underage,未成年,zh-CN
Category,分类,zh-CN
Fandom,同人圈,zh-CN
Fandom blind,无原作背景,zh-CN
Crossover,交叉,zh-CN
Fusion,融合,zh-CN
Alternate universe,平行宇宙,zh-CN
AU,平行宇宙,zh-CN
Canon,原作,zh-CN
Canon compliant,符合原作,zh-CN
Canon divergent,偏离原作,zh-CN
Headcanon,个人设定,zh-CN
Fan theory,粉丝理论,zh-CN
Tag,标签,zh-CN
Additional tags,附加标签,zh-CN
Relationship tags,关系标签,zh-CN
Character tags,角色标签,zh-CN
Freeform tags,自由标签,zh-CN
Summary,摘要,zh-CN
Notes,注释,zh-CN
Author's notes,作者注释,zh-CN
End notes,结尾注释,zh-CN
Dedication,献词,zh-CN
Acknowledgments,致谢,zh-CN
Beta reader,校对者,zh-CN
Beta,校对,zh-CN
Beta'd,已校对,zh-CN
Unbeta'd,未校对,zh-CN
Word count,字数,zh-CN
Chapter count,章节数,zh-CN
Status,状态,zh-CN
Complete,已完成,zh-CN
Incomplete,未完成,zh-CN
On hiatus,暂停,zh-CN
Abandoned,弃坑,zh-CN
WIP,进行中,zh-CN
Work in progress,进行中,zh-CN
Update,更新,zh-CN
Latest update,最新更新,zh-CN
Last updated,最后更新,zh-CN
Posted,发布,zh-CN
Posted date,发布日期,zh-CN
Completion date,完成日期,zh-CN
Language,语言,zh-CN
Translation,翻译,zh-CN
Translated,已翻译,zh-CN
Original language,原文语言,zh-CN
Target language,目标语言,zh-CN
Translator,译者,zh-CN
Translation notes,翻译注释,zh-CN
Comment,评论,zh-CN
Review,评论,zh-CN
Kudos,点赞,zh-CN
Bookmark,收藏,zh-CN
Subscribe,订阅,zh-CN
Share,分享,zh-CN
Report,举报,zh-CN
Filter,筛选,zh-CN
Search,搜索,zh-CN
Sort,排序,zh-CN
Filter by,按...筛选,zh-CN
Sort by,按...排序,zh-CN
