source,target,tgt_lng
Handheld,掌機,zh-TW
Game title,遊戲名稱,zh-TW
Genre,遊戲類型,zh-TW
Action,動作,zh-TW
Adventure,冒險,zh-TW
RPG,角色扮演,zh-TW
Strategy,策略,zh-TW
Sports,運動,zh-TW
Racing,競速,zh-TW
Fighting,格鬥,zh-TW
Shooter,射擊,zh-TW
Puzzle,解謎,zh-TW
Simulation,模擬,zh-TW
MMO,大型多人線上,zh-TW
Indie,獨立遊戲,zh-TW
AAA,3A大作,zh-TW
DLC,可下載內容,zh-TW
Expansion,擴充包,zh-TW
Glitch,故障,zh-TW
Soundtrack,配樂,zh-TW
Voice acting,配音,zh-TW
Cutscene,過場動畫,zh-TW
Tutorial,教學,zh-TW
Trophy,獎盃,zh-TW
Achievement,成就,zh-TW
Save,儲存,zh-TW
Load,讀取,zh-TW
Checkpoint,檢查點,zh-TW
Boss,頭目,zh-TW
Companion,夥伴,zh-TW
Party,隊伍,zh-TW
Race,種族,zh-TW
Skill,技能,zh-TW
Ability,能力,zh-TW
Item,物品,zh-TW
Equipment,裝備,zh-TW
Weapon,武器,zh-TW
Armor,防具,zh-TW
Consumable,消耗品,zh-TW
Currency,貨幣,zh-TW
Experience,經驗值,zh-TW
Level up,升級,zh-TW
Quest,任務,zh-TW
Mission,任務,zh-TW
Objective,目標,zh-TW
Reward,獎勵,zh-TW
Loot,戰利品,zh-TW
Drop,掉落,zh-TW
Craft,製作,zh-TW
Trade,交易,zh-TW
Shop,商店,zh-TW
Inventory,背包,zh-TW
HUD,介面,zh-TW
Joystick,搖桿,zh-TW
Trigger,扳機,zh-TW
Multiplayer,多人遊戲,zh-TW
Co-op,合作,zh-TW
PvP,玩家對戰,zh-TW
PvE,玩家對環境,zh-TW
Ranked,排位,zh-TW
Casual,休閒,zh-TW
Tournament,錦標賽,zh-TW
Match,比賽,zh-TW
Round,回合,zh-TW
Squad,小隊,zh-TW
Guild,公會,zh-TW
Clan,氏族,zh-TW
